Year,Quarter,Country,NZPort,Product Type,Export Quantity
2003,Mar,Japan,Whangarei,Softwood Chips,29197
2003,Mar,Japan,Tauranga,Softwood Chips,28104
2003,Mar,Japan,Napier,Softwood Chips,16899
2003,Mar,Japan,Invercargill,Hardwood Chips,8832
2003,Mar,Japan,Invercargill,Softwood Chips,5703
2003,Mar,Japan,Gisborne,Softwood Chips,11418
2003,Mar,Japan,Dunedin,Softwood Chips,2572
2003,Jun,Hong Kong (Special Administrative Region),Auckland,Softwood Chips,32
2003,Jun,Japan,Whangarei,Softwood Chips,14497
2003,Jun,Japan,Tauranga,Softwood Chips,50234
2003,Jun,Japan,Napier,Softwood Chips,16407
2003,Sep,Japan,Whangarei,Softwood Chips,14287
2003,Sep,Japan,Tauranga,Softwood Chips,30428
2003,Sep,Japan,Napier,Softwood Chips,15161
2003,Sep,Japan,Invercargill,Softwood Chips,11447
2003,Sep,Japan,Dunedin,Softwood Chips,10872
2003,Dec,Hong Kong (Special Administrative Region),Auckland,Softwood Chips,16
2003,Dec,Japan,Whangarei,Softwood Chips,14018
2003,Dec,Japan,Napier,Softwood Chips,14685
2003,Dec,Japan,Invercargill,Hardwood Chips,5996
2003,Dec,Japan,Invercargill,Softwood Chips,3495
2003,Dec,Japan,Dunedin,Softwood Chips,19879
2004,Mar,Hong Kong (Special Administrative Region),Auckland,Softwood Chips,16
2004,Mar,Japan,Whangarei,Softwood Chips,32687
2004,Mar,Japan,Tauranga,Softwood Chips,14665
2004,Mar,Japan,Napier,Softwood Chips,16753
2004,Mar,Japan,Invercargill,Hardwood Chips,16105
2004,Mar,Japan,Invercargill,Softwood Chips,6984
2004,Mar,Japan,Dunedin,Softwood Chips,4010
2004,Jun,Japan,Whangarei,Softwood Chips,15200
2004,Jun,Japan,Napier,Softwood Chips,15375
2004,Jun,French Polynesia,Auckland,Softwood Chips,8
2004,Sep,Japan,Whangarei,Softwood Chips,32825
2004,Sep,Japan,Napier,Softwood Chips,17000
2004,Sep,Japan,Invercargill,Hardwood Chips,2520
2004,Sep,Japan,Invercargill,Softwood Chips,4753
2004,Sep,Japan,Dunedin,Softwood Chips,9722
2004,Dec,Australia,Auckland,Hardwood Chips,1
2004,Dec,Japan,Whangarei,Softwood Chips,15900
2004,Dec,Japan,Tauranga,Softwood Chips,14800
2004,Dec,Japan,Dunedin,Softwood Chips,5590
2004,Dec,French Polynesia,Auckland,Softwood Chips,8
2004,Dec,Singapore,Auckland,Softwood Chips,49
