Year	Quarter	Country	NZPort	Product Type	UnitOfMeasure	Export Quantity	Export FOB ($NZ 000)	
2003	Mar	Japan	Whangarei	Softwood Chips	Bone Dry Unit	29197	4605.583	
2003	Mar	Japan	Tauranga	Softwood Chips	Bone Dry Unit	28104	4137.282	
2003	Mar	Japan	Napier	Softwood Chips	Bone Dry Unit	16899	2404.249	
2003	Mar	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	8832	1310.382	
2003	Mar	Japan	Invercargill	Softwood Chips	Bone Dry Unit	5703	832.276	
2003	Mar	Japan	Gisborne	Softwood Chips	Bone Dry Unit	11418	1790.453	
2003	Mar	Japan	Dunedin	Softwood Chips	Bone Dry Unit	2572	313.218	
2003	Jun	Hong Kong (Special Administrative Region)	Auckland	Softwood Chips	Bone Dry Unit	32	7.368	
2003	Jun	Japan	Whangarei	Softwood Chips	Bone Dry Unit	14497	2130.787	
2003	Jun	Japan	Tauranga	Softwood Chips	Bone Dry Unit	50234	7650	
2003	Jun	Japan	Napier	Softwood Chips	Bone Dry Unit	16407	2170.868	
2003	Sep	Japan	Whangarei	Softwood Chips	Bone Dry Unit	14287	2236.986	
2003	Sep	Japan	Tauranga	Softwood Chips	Bone Dry Unit	30428	4485.213	
2003	Sep	Japan	Napier	Softwood Chips	Bone Dry Unit	15161	2220.324	
2003	Sep	Japan	Invercargill	Softwood Chips	Bone Dry Unit	11447	1510.336	
2003	Sep	Japan	Dunedin	Softwood Chips	Bone Dry Unit	10872	1330.776	
2003	Dec	Hong Kong (Special Administrative Region)	Auckland	Softwood Chips	Bone Dry Unit	16	3.904	
2003	Dec	Japan	Whangarei	Softwood Chips	Bone Dry Unit	14018	2040.676	
2003	Dec	Japan	Napier	Softwood Chips	Bone Dry Unit	14685	2035.939	
2003	Dec	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	5996	818.913	
2003	Dec	Japan	Invercargill	Softwood Chips	Bone Dry Unit	3495	473.114	
2003	Dec	Japan	Dunedin	Softwood Chips	Bone Dry Unit	19879	2532.589	
2004	Mar	Hong Kong (Special Administrative Region)	Auckland	Softwood Chips	Bone Dry Unit	16	3.588	
2004	Mar	Japan	Whangarei	Softwood Chips	Bone Dry Unit	32687	4438.471	
2004	Mar	Japan	Tauranga	Softwood Chips	Bone Dry Unit	14665	1929.173	
2004	Mar	Japan	Napier	Softwood Chips	Bone Dry Unit	16753	2078.747	
2004	Mar	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	16105	1501.842	
2004	Mar	Japan	Invercargill	Softwood Chips	Bone Dry Unit	6984	614.742	
2004	Mar	Japan	Dunedin	Softwood Chips	Bone Dry Unit	4010	766.205	
2004	Jun	Japan	Whangarei	Softwood Chips	Bone Dry Unit	15200	2418.679	
2004	Jun	Japan	Napier	Softwood Chips	Bone Dry Unit	15375	2288.325	
2004	Jun	French Polynesia	Auckland	Softwood Chips	Bone Dry Unit	8	2.442	
2004	Sep	Japan	Whangarei	Softwood Chips	Bone Dry Unit	32825	4996.648	
2004	Sep	Japan	Napier	Softwood Chips	Bone Dry Unit	17000	2451.168	
2004	Sep	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	2520	365.824	
2004	Sep	Japan	Invercargill	Softwood Chips	Bone Dry Unit	4753	677.224	
2004	Sep	Japan	Dunedin	Softwood Chips	Bone Dry Unit	9722	1357.308	
2004	Dec	Australia	Auckland	Hardwood Chips	Bone Dry Unit	1	1.127	
2004	Dec	Japan	Whangarei	Softwood Chips	Bone Dry Unit	15900	2258.78	
2004	Dec	Japan	Tauranga	Softwood Chips	Bone Dry Unit	14800	2159.554	
2004	Dec	Japan	Dunedin	Softwood Chips	Bone Dry Unit	5590	1417.104	
2004	Dec	French Polynesia	Auckland	Softwood Chips	Bone Dry Unit	8	2.442	
2004	Dec	Singapore	Auckland	Softwood Chips	Bone Dry Unit	49	7.713	
2005	Mar	Japan	Whangarei	Softwood Chips	Bone Dry Unit	15500	2202.742	
2005	Mar	Japan	Napier	Softwood Chips	Bone Dry Unit	32300	4217.115	
2005	Mar	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	5925	1145.094	
2005	Mar	Japan	Dunedin	Softwood Chips	Bone Dry Unit	11187	1420.174	
2005	Mar	Singapore	Auckland	Softwood Chips	Bone Dry Unit	156	28.116	
2005	Jun	Australia	Auckland	Hardwood Chips	Bone Dry Unit	1	1.454	
2005	Jun	Japan	Whangarei	Softwood Chips	Bone Dry Unit	30300	4542.504	
2005	Jun	Japan	Tauranga	Softwood Chips	Bone Dry Unit	17292	1941.732	
2005	Jun	Japan	Napier	Softwood Chips	Bone Dry Unit	17000	2241.088	
2005	Jun	Japan	Invercargill	Softwood Chips	Bone Dry Unit	12519	1726.492	
2005	Jun	Japan	Dunedin	Softwood Chips	Bone Dry Unit	2443	313.147	
2005	Jun	French Polynesia	Auckland	Softwood Chips	Bone Dry Unit	8	2.441	
2005	Jun	Singapore	Auckland	Softwood Chips	Bone Dry Unit	160	28.116	
2005	Sep	Australia	Auckland	Hardwood Chips	Bone Dry Unit	4	8.243	
2005	Sep	Japan	Whangarei	Softwood Chips	Bone Dry Unit	14700	2207.487	
2005	Sep	Japan	Napier	Softwood Chips	Bone Dry Unit	17500	2540.159	
2005	Sep	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	10445	2101.203	
2005	Sep	Japan	Invercargill	Softwood Chips	Bone Dry Unit	7070	1008.597	
2005	Sep	Japan	Dunedin	Softwood Chips	Bone Dry Unit	12973	1862.054	
2005	Sep	"Korea, Republic of"	Auckland	Softwood Chips	Bone Dry Unit	12	4.208	
2005	Sep	Norfolk Island	Auckland	Hardwood Chips	Bone Dry Unit	1	0.099	
2005	Sep	French Polynesia	Auckland	Softwood Chips	Bone Dry Unit	8	2.441	
2005	Sep	Singapore	Auckland	Softwood Chips	Bone Dry Unit	102	16.254	
2005	Dec	Australia	Auckland	Hardwood Chips	Bone Dry Unit	0	0	
2005	Dec	Australia	Auckland	Softwood Chips	Bone Dry Unit	44	7.617	
2005	Dec	Japan	Whangarei	Hardwood Chips	Bone Dry Unit	4700	869.129	
2005	Dec	Japan	Whangarei	Softwood Chips	Bone Dry Unit	31300	4906.173	
2005	Dec	Japan	Napier	Softwood Chips	Bone Dry Unit	17000	2525.062	
2005	Dec	"Korea, Republic of"	Auckland	Softwood Chips	Bone Dry Unit	11	3.619	
2005	Dec	Singapore	Auckland	Softwood Chips	Bone Dry Unit	144	24.318	
2006	Mar	Australia	Auckland	Hardwood Chips	Bone Dry Unit	1	2.25	
2006	Mar	Japan	Whangarei	Softwood Chips	Bone Dry Unit	15000	2478.774	
2006	Mar	Japan	Napier	Softwood Chips	Bone Dry Unit	17000	2601.526	
2006	Mar	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	12859	2373.062	
2006	Mar	Japan	Invercargill	Softwood Chips	Bone Dry Unit	7847	1111.59	
2006	Mar	Japan	Dunedin	Softwood Chips	Bone Dry Unit	13851	1928.564	
2006	Mar	Singapore	Auckland	Softwood Chips	Bone Dry Unit	108	36.288	
2006	Jun	Australia	Auckland	Hardwood Chips	Bone Dry Unit	1	1.963	
2006	Jun	Japan	Whangarei	Softwood Chips	Bone Dry Unit	16700	2853.12	
2006	Jun	Japan	Napier	Softwood Chips	Bone Dry Unit	17000	2803.018	
2006	Jun	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	7797	1656.33	
2006	Jun	Japan	Dunedin	Softwood Chips	Bone Dry Unit	7639	1241.443	
2006	Jun	Singapore	Tauranga	Softwood Chips	Bone Dry Unit	24	8.064	
2006	Jun	Singapore	Auckland	Softwood Chips	Bone Dry Unit	12	4.032	
2006	Sep	Australia	Auckland	Hardwood Chips	Bone Dry Unit	6	14.604	
2006	Sep	Japan	Whangarei	Hardwood Chips	Bone Dry Unit	6700	1400.752	
2006	Sep	Japan	Whangarei	Softwood Chips	Bone Dry Unit	15000	2664.551	
2006	Sep	Japan	Napier	Softwood Chips	Bone Dry Unit	15600	2592.884	
2006	Sep	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	11602	2395.036	
2006	Sep	Japan	Invercargill	Softwood Chips	Bone Dry Unit	4076	611.483	
2006	Dec	Australia	Christchurch	Softwood Chips	Bone Dry Unit	3	1.337	
2006	Dec	Australia	Auckland	Hardwood Chips	Bone Dry Unit	2	3.128	
2006	Dec	Japan	Whangarei	Softwood Chips	Bone Dry Unit	15120	2528.654	
2006	Dec	Japan	Napier	Softwood Chips	Bone Dry Unit	34000	5180.225	
2006	Dec	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	8469	1758.616	
2006	Dec	Japan	Invercargill	Softwood Chips	Bone Dry Unit	962	144.97	
2006	Dec	Japan	Dunedin	Softwood Chips	Bone Dry Unit	6303	962.554	
2006	Dec	Norfolk Island	Auckland	Hardwood Chips	Bone Dry Unit	1	0.099	
2006	Dec	Singapore	Auckland	Softwood Chips	Bone Dry Unit	191	78.624	
2007	Mar	Australia	Tauranga	Hardwood Chips	Bone Dry Unit	1	4.752	
2007	Mar	Australia	Christchurch	Softwood Chips	Bone Dry Unit	8	2.518	
2007	Mar	Australia	Auckland	Hardwood Chips	Bone Dry Unit	1	1.901	
2007	Mar	Japan	Whangarei	Softwood Chips	Bone Dry Unit	33090	6607.035	
2007	Mar	Japan	Napier	Softwood Chips	Bone Dry Unit	35200	5358.548	
2007	Mar	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	14225	2890.389	
2007	Mar	Japan	Invercargill	Softwood Chips	Bone Dry Unit	7768	1194.488	
2007	Mar	Japan	Dunedin	Softwood Chips	Bone Dry Unit	10257	1535.926	
2007	Mar	Singapore	Auckland	Softwood Chips	Bone Dry Unit	78	35.28	
2007	Jun	Australia	Christchurch	Softwood Chips	Bone Dry Unit	1	4.546	
2007	Jun	Australia	Auckland	Hardwood Chips	Bone Dry Unit	0	0	
2007	Jun	Japan	Whangarei	Hardwood Chips	Bone Dry Unit	3150	641.547	
2007	Jun	Japan	Whangarei	Softwood Chips	Bone Dry Unit	14020	2855.397	
2007	Jun	Japan	Napier	Softwood Chips	Bone Dry Unit	17000	3308.039	
2007	Jun	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	9104	1851.258	
2007	Jun	Japan	Dunedin	Softwood Chips	Bone Dry Unit	18134	1626.474	
2007	Jun	"Korea, Republic of"	Auckland	Softwood Chips	Bone Dry Unit	13	3.737	
2007	Jun	Singapore	Tauranga	Softwood Chips	Bone Dry Unit	22	10.08	
2007	Jun	Singapore	Auckland	Softwood Chips	Bone Dry Unit	46	20.16	
2007	Sep	Australia	Tauranga	Hardwood Chips	Bone Dry Unit	10	7.707	
2007	Sep	Japan	Whangarei	Softwood Chips	Bone Dry Unit	34100	6138.201	
2007	Sep	Japan	Napier	Softwood Chips	Bone Dry Unit	33850	6642.74	
2007	Sep	Japan	Invercargill	Hardwood Chips	Bone Dry Unit	15802	1753.909	
2007	Sep	Japan	Dunedin	Softwood Chips	Bone Dry Unit	16826	1498.817	
2007	Sep	Singapore	Auckland	Softwood Chips	Bone Dry Unit	90	40.32	
2007	Dec	Australia	Christchurch	Softwood Chips	Bone Dry Unit	4	5.931	
2007	Dec	Japan	Whangarei	Softwood Chips	Bone Dry Unit	33400	6859.526	
